City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Rudbar,AF,2022-02-06 17:25:51,30.15,62.6,57.52,25,0,8.46
159,Stephenville,US,2022-02-06 17:23:31,32.2207,-98.2023,48.33,37,0,11.5
160,Jamestown,US,2022-02-06 17:18:41,42.097,-79.2353,31.51,40,0,8.01
161,Mahebourg,MU,2022-02-06 17:25:52,-20.4081,57.7,79.25,83,40,11.5
162,Ampanihy,MG,2022-02-06 17:25:52,-24.7,44.75,73.72,91,100,21.63
163,Clyde River,CA,2022-02-06 17:22:28,70.4692,-68.5914,-30.77,68,0,5.75
164,Ceica,RO,2022-02-06 17:25:53,46.85,22.1833,38.98,76,100,8.28
165,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
166,Bambous Virieux,MU,2022-02-06 17:25:48,-20.3428,57.7575,79.21,83,40,11.5
167,Ponta Do Sol,PT,2022-02-06 17:22:29,32.6667,-17.1,66.13,52,11,12.06
168,Ostrovnoy,RU,2022-02-06 17:25:38,68.0531,39.5131,14.68,85,100,22.1
169,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
170,Hithadhoo,MV,2022-02-06 17:25:51,-0.6,73.0833,82.83,70,25,11.3
171,Touros,BR,2022-02-06 17:25:53,-5.1989,-35.4608,90.5,54,15,12.91
172,Saurimo,AO,2022-02-06 17:25:54,-9.6608,20.3916,68.85,88,77,2.64
173,Ndende,GA,2022-02-06 17:25:54,-2.4008,11.3581,80.67,82,26,2.35
174,Buraydah,SA,2022-02-06 17:25:55,26.326,43.975,57.65,34,0,7.43
175,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
176,Juliaca,PE,2022-02-06 17:25:55,-15.5,-70.1333,53.58,58,75,10.36
177,Pisco,PE,2022-02-06 17:25:55,-13.7,-76.2167,71.02,83,40,9.22
178,Rocha,UY,2022-02-06 17:25:56,-34.4833,-54.3333,73.33,40,71,17.43
179,Tasiilaq,GL,2022-02-06 17:22:29,65.6145,-37.6368,23.16,60,100,26.24
180,Ribeira Grande,PT,2022-02-06 17:23:13,38.5167,-28.7,63.0,82,40,11.5
181,Grindavik,IS,2022-02-06 17:22:47,63.8424,-22.4338,27.07,80,75,9.22
182,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
183,Hermanus,ZA,2022-02-06 17:23:10,-34.4187,19.2345,73.9,79,7,9.53
184,Busselton,AU,2022-02-06 17:18:44,-33.65,115.3333,55.09,66,77,18.95
185,Kruisfontein,ZA,2022-02-06 17:22:45,-34.0033,24.7314,76.89,67,64,10.22
186,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
187,Zedelgem,BE,2022-02-06 17:26:57,51.1262,3.1372,51.1,81,98,10.0
188,Cidreira,BR,2022-02-06 17:26:57,-30.1811,-50.2056,81.48,51,18,12.66
189,Pangnirtung,CA,2022-02-06 17:22:10,66.1451,-65.7125,-31.0,61,40,2.3
190,El Seibo,DO,2022-02-06 17:26:58,18.7641,-69.0375,76.12,80,99,11.99
191,Sinegorskiy,RU,2022-02-06 17:26:58,48.0139,40.8447,30.16,80,100,11.41
192,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
193,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
194,Sept-Iles,CA,2022-02-06 17:24:20,50.2001,-66.3821,3.06,56,20,4.0
195,Ponta Do Sol,PT,2022-02-06 17:22:29,32.6667,-17.1,66.13,52,11,12.06
196,Kruisfontein,ZA,2022-02-06 17:22:45,-34.0033,24.7314,76.89,67,64,10.22
197,Galle,LK,2022-02-06 17:26:59,6.0367,80.217,77.29,82,78,3.2
198,Saint George,US,2022-02-06 17:23:24,37.1041,-113.5841,48.34,32,0,4.0
199,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
200,Kpalime,TG,2022-02-06 17:27:00,6.9,0.6333,94.71,25,8,4.47
201,Codrington,AU,2022-02-06 17:27:00,-38.2667,141.9667,60.75,71,0,10.6
202,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
203,Mizdah,LY,2022-02-06 17:24:43,31.4451,12.9801,59.85,18,95,2.59
204,Hithadhoo,MV,2022-02-06 17:25:51,-0.6,73.0833,82.83,70,25,11.3
205,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
206,Port Elizabeth,ZA,2022-02-06 17:21:42,-33.918,25.5701,79.11,83,20,13.8
207,Mar Del Plata,AR,2022-02-06 17:23:33,-38.0023,-57.5575,66.22,90,100,24.0
208,Gerash,IR,2022-02-06 17:27:01,27.6652,54.1371,53.74,37,0,6.38
209,Mar Del Plata,AR,2022-02-06 17:23:33,-38.0023,-57.5575,66.22,90,100,24.0
